Id,NameEn,NameAr
1,Abu Dhabi,ابو ظبي
2,Dubai,دبي
3,Sharjah,الشارقة
4,Fujairah,الفجيرة
5,Ras Al Khaimah,رأس الخيمة
6,Ajman,عجمان
7,Umm al-Qayyim,أم القيم
